Indicator,Cities,Country,Region,Percentage_Value,Estimate_source,ObjectId
Proportion of population with access to public transport,Tomaszów Mazowiecki,Poland,Northern America and Europe,98.09, European Commission DG REGIO,1187
Proportion of population with access to public transport,Bologna,Italy,Northern America and Europe,98.09, European Commission DG REGIO,1188
Proportion of population with access to public transport,Brindisi,Italy,Northern America and Europe,98.1, European Commission DG REGIO,1189
Proportion of population with access to public transport,Darlington,United Kingdom,Northern America and Europe,98.11, European Commission DG REGIO,1190
Proportion of population with access to public transport,Barletta,Italy,Northern America and Europe,98.15, European Commission DG REGIO,1191
Proportion of population with access to public transport,Saint-Quentin,France,Northern America and Europe,98.15, European Commission DG REGIO,1192
Proportion of population with access to public transport,Nowy S?cz,Poland,Northern America and Europe,98.17, European Commission DG REGIO,1193
Proportion of population with access to public transport,Swansea,United Kingdom,Northern America and Europe,98.17, European Commission DG REGIO,1194
Proportion of population with access to public transport,Burgos,Spain,Northern America and Europe,98.17, European Commission DG REGIO,1195
Proportion of population with access to public transport,San Sebastián/Donostia,Spain,Northern America and Europe,98.2, European Commission DG REGIO,1196
Proportion of population with access to public transport,Sheffield,United Kingdom,Northern America and Europe,98.21,UN-Habitat Urban Indicators Database,1197
Proportion of population with access to public transport,Gela,Italy,Northern America and Europe,98.21, European Commission DG REGIO,1198
Proportion of population with access to public transport,Rosenheim,Germany,Northern America and Europe,98.22, European Commission DG REGIO,1199
Proportion of population with access to public transport,Exeter,United Kingdom,Northern America and Europe,98.22, European Commission DG REGIO,1200
Proportion of population with access to public transport,Asti,Italy,Northern America and Europe,99, European Commission DG REGIO,1201
Proportion of population with access to public transport,Vitoria/Gasteiz,Spain,Northern America and Europe,99.02, European Commission DG REGIO,1202
Proportion of population with access to public transport,Sefton,United Kingdom,Northern America and Europe,99.03, European Commission DG REGIO,1203
Proportion of population with access to public transport,Palencia,Spain,Northern America and Europe,99.07, European Commission DG REGIO,1204
Proportion of population with access to public transport,Vigo,Spain,Northern America and Europe,99.09, European Commission DG REGIO,1205
Proportion of population with access to public transport,Chester,United Kingdom,Northern America and Europe,99.11, European Commission DG REGIO,1206
Proportion of population with access to public transport,Grosseto,Italy,Northern America and Europe,99.11, European Commission DG REGIO,1207
Proportion of population with access to public transport,Parla,Spain,Northern America and Europe,99.12, European Commission DG REGIO,1208
Proportion of population with access to public transport,Bayreuth,Germany,Northern America and Europe,99.16, European Commission DG REGIO,1209
Proportion of population with access to public transport,Stalowa Wola,Poland,Northern America and Europe,99.23, European Commission DG REGIO,1210
Proportion of population with access to public transport,Arezzo,Italy,Northern America and Europe,99.26, European Commission DG REGIO,1211
Proportion of population with access to public transport,Kavala,Greece,Northern America and Europe,99.29, European Commission DG REGIO,1212
Proportion of population with access to public transport,Brighton,United Kingdom,Northern America and Europe,99.31, European Commission DG REGIO,1213
Proportion of population with access to public transport,Igualada,Spain,Northern America and Europe,99.33, European Commission DG REGIO,1214
Proportion of population with access to public transport,Genova,Italy,Northern America and Europe,99.5, European Commission DG REGIO,1215
Proportion of population with access to public transport,Barcelona,Spain,Northern America and Europe,99.68, European Commission DG REGIO,1216
Proportion of population with access to public transport,Pesaro,Italy,Northern America and Europe,99.73, European Commission DG REGIO,1217
Proportion of population with access to public transport,Ostia,Italy,Northern America and Europe,99.89, European Commission DG REGIO,1218
,,,,,,1219
,,,,,,1220
,Metadata,,,,,1221
,"Indicator is computed as share of population who live within a walking distance (along a street network) of 500m to a low capacity public transport system (eg bus, tram) and 1000m to high capacity public  transport systems (trains, ferries, etc)",,,,,1222
,Only public transport stops which are mapped are included in the analysis and can include both formal and informal stops where available. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here,,,,,1223
